Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC],PresOB [mBar],RH_OB [%],TempOB [C],Temp RTC [C],Bat [V],Humidity [%],Temp Atmos [C],Distance [mm],
2020/02/24 21:06:12,954.16,13.17,7.02,7.50,4.80,60.48,7.95,701,
2020/02/24 21:11:12,953.73,13.03,7.20,7.75,4.80,59.52,7.89,707,
2020/02/24 21:16:12,954.14,13.07,7.10,7.75,4.80,59.63,8.18,681,
2020/02/24 21:21:12,954.33,12.84,7.03,7.50,4.80,59.54,8.08,704,
2020/02/24 21:26:12,954.34,12.76,6.97,7.50,4.80,61.02,7.67,709,
2020/02/24 21:31:12,954.24,13.27,7.01,7.50,4.81,60.06,7.99,745,
2020/02/24 21:36:12,954.13,13.44,7.13,7.50,4.80,59.98,8.20,701,
2020/02/24 21:41:12,953.93,13.60,7.19,7.75,4.81,59.56,8.51,683,
2020/02/24 21:46:12,954.54,13.52,7.34,7.75,4.80,58.87,7.99,675,
2020/02/24 21:51:12,954.56,13.59,7.49,8.00,4.81,56.04,8.76,668,
2020/02/24 21:56:12,954.35,13.55,7.73,8.25,4.80,55.93,8.89,690,
2020/02/24 22:01:12,954.31,13.40,7.91,8.50,4.80,54.40,8.70,658,
2020/02/24 22:06:12,954.46,13.44,7.94,8.50,4.81,57.87,8.54,659,
2020/02/24 22:11:12,954.28,13.26,7.90,8.50,4.81,55.60,9.22,658,
2020/02/24 22:16:12,954.35,12.37,7.80,8.25,4.80,57.20,8.76,662,
2020/02/24 22:21:12,954.72,12.65,7.57,8.00,4.80,56.37,8.97,689,
2020/02/24 22:26:12,954.61,12.32,7.47,8.00,4.80,57.10,8.64,694,
2020/02/24 22:31:12,954.71,12.46,7.37,7.75,4.80,56.92,8.58,701,
2020/02/24 22:36:12,954.53,12.67,7.27,7.75,4.80,57.21,8.82,728,
2020/02/24 22:41:12,954.49,12.96,7.36,8.00,4.80,56.99,8.99,663,
2020/02/24 22:46:12,954.89,13.22,7.51,8.00,4.80,54.23,9.50,730,
2020/02/24 22:51:12,954.73,12.46,7.67,8.25,4.80,59.48,7.43,671,
2020/02/24 22:56:12,955.33,12.80,7.51,8.00,4.80,55.43,9.15,677,
2020/02/24 23:01:12,955.22,12.61,7.49,8.00,4.80,56.70,9.01,689,
2020/02/24 23:06:12,955.00,12.85,7.44,8.00,4.80,54.96,9.27,680,
2020/02/24 23:11:12,954.93,12.66,7.44,8.00,4.80,53.35,9.50,714,
2020/02/24 23:16:12,955.19,12.66,7.48,8.00,4.79,56.74,8.86,687,
2020/02/24 23:21:12,955.01,12.65,7.39,8.00,4.80,54.44,9.13,756,
2020/02/24 23:26:12,955.34,12.63,7.38,8.00,4.80,57.12,9.02,685,
