Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Anemometer revolutions [number],
2020/02/20 12:40:50,998.06,23.53,25.58,26.50,2.76,216,
2020/02/20 12:40:55,998.11,23.55,25.58,26.50,2.77,216,
2020/02/20 12:41:00,998.13,23.79,25.59,26.75,2.76,95,
2020/02/20 12:41:05,998.14,23.79,25.59,26.50,2.77,28,
2020/02/20 12:41:10,998.08,23.67,25.59,26.50,2.76,0,
2020/02/20 12:41:15,998.09,23.58,25.59,26.50,2.76,215,
2020/02/20 12:41:20,998.08,23.58,25.59,26.50,2.77,218,
2020/02/20 12:41:25,998.11,23.72,25.59,26.50,2.76,218,
2020/02/20 12:41:30,998.11,23.75,25.59,26.75,2.77,218,
2020/02/20 12:41:35,998.14,23.81,25.60,26.75,2.77,217,
2020/02/20 12:41:40,998.09,23.78,25.59,26.50,2.76,217,
2020/02/20 12:41:45,998.12,23.80,25.60,26.75,2.76,216,
2020/02/20 12:41:50,998.08,23.97,25.60,26.75,2.76,216,
2020/02/20 12:41:55,998.10,23.80,25.60,26.50,2.76,216,
2020/02/20 12:42:00,998.11,23.69,25.61,26.75,2.76,216,
2020/02/20 12:42:05,998.13,24.01,25.62,26.50,2.76,216,
2020/02/20 12:42:10,998.13,23.84,25.62,26.75,2.77,216,
2020/02/20 12:42:15,998.09,23.77,25.62,26.75,2.77,217,
2020/02/20 12:42:20,998.09,23.66,25.62,26.75,2.77,215,
2020/02/20 12:42:25,998.14,23.60,25.63,26.75,2.76,216,
2020/02/20 12:42:30,998.12,23.68,25.64,26.75,2.76,202,
2020/02/20 12:42:35,998.04,23.56,25.64,26.75,2.77,221,
2020/02/20 12:42:40,998.15,23.53,25.65,26.75,2.76,217,
2020/02/20 12:42:45,998.10,23.59,25.65,26.75,2.77,218,
2020/02/20 12:42:50,998.15,23.58,25.65,26.75,2.76,217,
2020/02/20 12:42:55,998.14,23.62,25.64,26.75,2.77,216,
