Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Humidity [%], Temp Atmos [C],Distace [mm], 
2020/02/24 18:14:21,952.62,11.37,7.38,8.00,4.79,60.61,7.99,655,
2020/02/24 18:19:21,952.47,11.48,7.47,8.00,4.79,59.34,7.74,659,
2020/02/24 18:24:21,952.63,11.42,7.40,8.00,4.79,59.50,8.13,651,
2020/02/24 18:29:21,953.05,11.36,7.34,8.00,4.79,60.35,8.43,627,
2020/02/24 18:34:21,952.61,11.56,7.57,8.25,4.79,59.49,7.88,633,
2020/02/24 18:39:21,952.94,11.70,7.73,8.25,4.79,58.61,8.34,650,
2020/02/24 18:44:21,952.98,11.70,7.79,8.50,4.79,58.17,8.82,617,
2020/02/24 18:49:21,952.93,11.91,7.85,8.50,4.79,57.89,8.50,634,
2020/02/24 18:54:21,952.79,11.84,7.81,8.50,4.79,57.24,8.72,639,
2020/02/24 18:59:21,952.55,11.79,7.82,8.50,4.79,58.76,8.16,647,
2020/02/24 19:04:21,952.95,11.56,7.66,8.25,4.79,57.88,8.40,655,
2020/02/24 19:09:21,952.65,11.43,7.61,8.25,4.79,59.22,7.99,658,
2020/02/24 19:14:21,952.67,11.36,7.76,8.25,4.79,57.63,8.46,625,
2020/02/24 19:19:21,952.63,11.31,7.80,8.50,4.79,58.81,8.05,654,
2020/02/24 19:24:21,952.97,11.34,8.01,8.50,4.79,55.65,9.66,634,
2020/02/24 19:29:21,952.63,11.36,8.18,8.75,4.79,61.90,7.64,647,
2020/02/24 19:34:21,952.93,11.15,7.53,8.25,4.79,63.21,7.81,661,
2020/02/24 19:39:21,953.26,11.06,6.86,7.50,4.79,62.90,7.68,663,
2020/02/24 19:44:21,953.28,11.02,6.57,7.25,4.79,61.82,8.10,650,
2020/02/24 19:49:21,953.56,10.93,6.36,7.00,4.79,61.19,8.39,651,
2020/02/24 19:54:21,953.16,10.97,6.29,7.00,4.79,63.19,7.38,640,
2020/02/24 19:59:21,953.17,10.95,6.01,6.50,4.79,62.73,7.70,653,
2020/02/24 20:04:21,953.59,11.00,5.81,6.50,4.79,64.17,7.96,640,
2020/02/24 20:09:21,953.65,10.98,5.67,6.25,4.79,65.30,7.83,656,
2020/02/24 20:14:21,953.70,10.95,5.80,6.50,4.79,62.50,8.17,659,
2020/02/24 20:19:21,953.84,10.77,5.86,6.50,4.79,62.25,7.87,646,
2020/02/24 20:24:21,953.66,10.68,5.86,6.50,4.79,64.98,7.27,650,
2020/02/24 20:29:21,953.86,10.57,5.91,6.50,4.79,62.66,8.16,598,
2020/02/24 20:34:21,953.83,10.55,6.02,6.75,4.79,60.64,8.03,653,
2020/02/24 20:39:21,953.71,10.69,6.06,6.75,4.79,62.19,7.45,648,
2020/02/24 20:44:21,953.79,10.54,6.05,6.75,4.79,61.37,8.34,633,
2020/02/24 20:49:21,953.91,10.67,6.29,7.00,4.79,61.29,7.83,657,
2020/02/24 20:54:21,953.52,10.82,6.58,7.00,4.79,60.99,8.31,640,
2020/02/24 20:59:21,954.05,10.98,6.70,7.25,4.79,58.73,8.95,650,
2020/02/24 21:04:21,953.61,11.00,6.90,7.50,4.79,61.90,7.84,661,
2020/02/24 21:09:21,953.76,11.07,7.18,7.75,4.79,60.58,8.03,653,
2020/02/24 21:14:21,954.06,11.29,7.19,7.75,4.79,60.99,8.35,654,
2020/02/24 21:19:21,954.06,11.59,7.11,7.75,4.79,62.55,7.76,650,
2020/02/24 21:24:21,954.37,11.67,6.94,7.50,4.79,62.60,8.01,657,
2020/02/24 21:29:21,954.37,11.36,6.85,7.50,4.79,61.88,7.74,649,
2020/02/24 21:34:21,954.45,11.24,6.87,7.50,4.79,62.02,8.02,650,
2020/02/24 21:39:21,954.31,11.34,6.83,7.50,4.79,62.55,8.21,647,
